Region.Country,Geography,Name,Link,Notes,Social.media,Breakdown.by.COICOP.category.
Malawi,MWI,National Statistical Office of Malawi,http://www.nsomalawi.mw/index.php?option=com_content&view=article&id=186&Itemid=37,Monthly XLSX update,,Y
Mali,MLI,Institut National de la Statistique Mali,https://www.instat-mali.org/fr/publications?category=22,Annual PDF,,Y
Mauritania,MRT,ANSADE,https://ansade.mr/fr/publications/?row=INPC,Monthly PDF,,Y
Mauritius,MUS,Statistics Mauritius,https://statsmauritius.govmu.org/Pages/Statistics/By_Subject/CPI/SB_CPI.aspx,Monthly PDF,,Y
Morocco,MAR,Haut-Commissariat au Plan,https://applications-web.hcp.ma/sip/,Interactive & Press release,,Y
Mozambique,MOZ,Insituto Nacional de Estatistica,http://www.ine.gov.mz/estatisticas/estatisticas-economicas/indice-de-preco-no-consumidor/notas-de-imprensa/mocambique,Monthly PDF,http://twitter.com/INE_mz,Y
Namibia,"NAM",Namibia Statistics Agency,https://nsa.org.na/page/publications/,Monthly XLSX sheet (Price Statistics),,Y
Niger,NER,Institut National de la Statistique du Niger,https://www.stat-niger.org/?page_id=1558,No 2022 updates yet,,Y
Nigeria,NGA,Central Bank of Nigeria,https://www.cbn.gov.ng/rates/inflrates.asp,Interactive and XLSX update,,Y
Rwanda,RWA,National Institute of Statistics of Rwanda,https://www.statistics.gov.rw/publication/consumer-price-index,Monthly PDF and XLSX updates,,Y
Sao Tome and Principe,STP,Banco Central S Tome e Principe,https://bcstp.st/Banco-Central?x=wOgqPO8BlRrdHdPOd1%2BEuA==&&z=MQ9pUZLiR%2BYScEF43ktfRA==,Monthly XLSX update,,N
Senegal,SEN,Agence Nationale de la Statistique et de la Demographie,http://www.ansd.sn/index.php?option=com_ansd&view=titrepublication&id=61,Interactive and PDF update,,N
Seychelles,SYC,National Bureau of Statistics,https://www.nbs.gov.sc/downloads/economic-statistics/consumer-price-index,Monthly PDF updates,,Y
Sierra Leone,SLE,Statistics Sierre Leone,https://www.statistics.sl/index.php/cpi.html,Monthly PDF updates,,Y
Somalia,SOM,Hay’adda Istaatistikada Qaranka Soomaaliyaa ,https://www.nbs.gov.so/cpi-graph,Monthly interactive update,,Y
South Africa,ZAF,Statistics South Africa,https://www.statssa.gov.za/?cat=33,Comprehensive monthly release in PDF format,https://twitter.com/StatsSA,Y
South Sudan,SSD,,,,,
Sudan,SDN,Central Bank of Sudan,https://cbos.gov.sd/en/periodicals-publications?field_publication_type_tid_i18n=44,Quarterly PDF update,,N
Tanzania,TZA,National Bureau of Statistics,https://www.nbs.go.tz/index.php/en/consumer-price-index-cpi,Monthly PDF update,,Y
Togo,TGO,Institut National de la Statistique et des Etudes Economiqes et Demographiques,https://inseed.tg/inflation-prix/,Monthly PDF update,,Y
Tunisia,TUN,Statistiques Tunisie,http://www.ins.tn/en/statistiques/90,Monthly interactive and downloads,,Y
Uganda,UGA,UBOS,https://www.ubos.org/explore-statistics/30/,Monthly XLSX,https://twitter.com/StatisticsUg,Y
Zambia,ZMB,Ministry of Finance,mofnp.gov.zm,Website down - but Facebook notifications are published,"https://twitter.com/mofnpzambia, https://www.facebook.com/zambiafinanceministry",N
Zimbabwe,ZWE,ZIMSTAT,https://www.zimstat.co.zw/,"Figures are on homepage, not apparent where downloads are",,
